cluster,n_screens,name,dominant_phenotype,phenotype_frac,dominant_cell_type,dominant_screen_type,characteristic_genes
0,173,"Drug/Chemical response · Lung Adenocarcinoma · NHEJ1, SLC35A2, SBNO2",Drug / Chemical / Environmental Response,0.59,Lung Adenocarcinoma Cell Line,Positive Selection,"NHEJ1, SLC35A2, SBNO2, MTR, TAOK1, TMEM30A, ARRDC3, XPO4, MECR, USP48"
1,147,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117",Fitness / Proliferation / Viability,0.88,Melanoma Cell Line,Negative Selection,"C1QBP, NDUFA10, PET117, NDUFA2, MRPL2, MRPS18B, COX5B, NDUFB6, MRPL15, RPUSD3"
2,136,"Fitness/Viability · Cancer · EGR2, TMEM183A, PGAM4",Fitness / Proliferation / Viability,1.0,Cancer Cell Line,Negative Selection,"EGR2, TMEM183A, PGAM4, LCE1F, LCE1E, GGTLC1, KRTAP5-6, TRAPPC2, KRTAP5-10, KRTAP4-11"
3,115,"Drug/Chemical response · Retinal Pigment Epithelium · PDCD10, NF2, TAOK1",Drug / Chemical / Environmental Response,0.89,Retinal Pigment Epithelium Cell Line,bidirectional,"PDCD10, NF2, TAOK1, FRYL, GTF2H5, KIRREL1, KEAP1, TXNDC17, SMAD4, ERCC5"
4,113,"Drug/Chemical response · Chronic Myelogenous Leukemia · FBXW7, STUB1, RNF7",Drug / Chemical / Environmental Response,0.89,Chronic Myelogenous Leukemia Cell Line,bidirectional,"FBXW7, STUB1, RNF7, CNOT4, ZBTB14, RNF19B, UBE4B, ZBTB10, SMURF1, MIB1"
5,97,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1",Fitness / Proliferation / Viability,1.0,Cancer Cell Line,Negative Selection,"OR5K2, SDC1, NBEAL1, GSDMA, GALP, GJA3, OR1D2, OR1J1, OR7A17, HAMP"
6,93,"Drug/Chemical response · Retinal Pigment Epithelium · E2F7, MAPK1, STAG2",Drug / Chemical / Environmental Response,0.78,Retinal Pigment Epithelium Cell Line,bidirectional,"E2F7, MAPK1, STAG2, DYRK1A, NF2, ITGA5, PTEN, EME1, RAD51B, CYB5R4"
7,90,"Fitness/Viability · Neuroblastoma · GSTT2B, MTRNR2L8, ARGFX",Fitness / Proliferation / Viability,0.99,Neuroblastoma Cell Line,Negative Selection,"GSTT2B, MTRNR2L8, ARGFX, OR11H1, OR4F4, TMED7, RBAK-RBAKDN, ANKRD20A2P, FAM72B, ZNF816-ZNF321P"
8,85,"Fitness/Viability · Cancer · TCEAL7, LCE1E, PGAM4",Fitness / Proliferation / Viability,1.0,Cancer Cell Line,Negative Selection,"TCEAL7, LCE1E, PGAM4, KRTAP5-10, KRTAP5-6, VCY, LDHA, H2BC9, LCE1F, KRTAP4-11"
9,79,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O",Fitness / Proliferation / Viability,0.71,Acute Myeloid Leukemia Cell Line,Negative Selection,"SPDYE5, WASHC1, GOLGA8O, GOLGA6L4, POLR2J2, HSD17B10, REXO1L1P, SRGAP2B, PPCDC, DUX4L8"
