,dataset_name,phenotype,cleaned_phenotype,condition_clause,cell_type,cell_line,screen_type,library_methodology,screen_category,num_genes,author,source_id,split,n_hits,n_pos,n_neg,cluster,name
0,1,increases drug resistance as measured by increased cell proliferation,Drug / Chemical / Environmental Response, under Etoposide treatment (130.0 nM),Chronic Myeloid Leukemia Cell Line,KBM-7,Positive Selection,Knockout,unidirectional,7100,Wang T (2014),24336569,train,5,5,0,18,"Fitness/Viability · Hepatoma · CDK11B, PRP4K, STK11"
1,2,increases drug resistance as measured by increased cell proliferation,Drug / Chemical / Environmental Response, under Etoposide treatment (200.0 nM),Acute Myeloid Leukemia Cell Line,HL-60,Positive Selection,Knockout,unidirectional,7100,Wang T (2014),24336569,train,3,3,0,18,"Fitness/Viability · Hepatoma · CDK11B, PRP4K, STK11"
2,5,decreases cell proliferation,Fitness / Proliferation / Viability,,Chronic Myeloid Leukemia Cell Line,K-562,Negative Selection,Inhibition,unidirectional,15929,Gilbert LA (2014),25307932,train,1343,1343,0,12,"Fitness/Viability · Cancer · MRPS33, PDSS1, ISCA1"
3,6,decreases cell proliferation,Fitness / Proliferation / Viability,,Chronic Myeloid Leukemia Cell Line,K-562,Negative Selection,Activation,unidirectional,15930,Gilbert LA (2014),25307932,train,142,142,0,17,"Reporter/Pathway activity · T cell · UBASH3A, FOXL2NB, FOXA3"
4,16,decreases cell proliferation,Fitness / Proliferation / Viability,,Colorectal Cancer Cell Line,HCT 116,Negative Selection,Knockout,unidirectional,17587,Hart T (2015),26627737,train,2071,2071,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
5,17,decreases cell proliferation,Fitness / Proliferation / Viability,,Cervical Adenocarcinoma Cell Line,HeLa,Negative Selection,Knockout,unidirectional,17605,Hart T (2015),26627737,train,1695,1695,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
6,18,impacts cell proliferation,Fitness / Proliferation / Viability,,Chronic Myeloid Leukemia Cell Line,K-562,Negative Selection,Knockout,recovered_bidirectional,18454,Morgens DW (2016),27159373,train,1876,1876,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
7,27,decreases cell proliferation,Fitness / Proliferation / Viability,,Glioblastoma Cell Line,143B,Negative Selection,Knockout,unidirectional,17173,Hart T (2015),26627737,train,2195,2195,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
8,28,decreases cell proliferation,Fitness / Proliferation / Viability,,Retinal Pigment Epithelium Cell Line,hTERT-RPE1,Negative Selection,Knockout,unidirectional,17170,Hart T (2015),26627737,train,2036,2036,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
9,29,decreases cell proliferation,Fitness / Proliferation / Viability,,Colonic Adenocarcinoma Cell Line,DLD-1,Negative Selection,Knockout,unidirectional,17177,Hart T (2015),26627737,train,1892,1892,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
10,66,decreases cell proliferation,Fitness / Proliferation / Viability,,Eosinophilic Leukemia Cell Line,EoL-1,Negative Selection,Knockout,unidirectional,18580,Wang T (2017),28162770,train,2426,2426,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
11,67,decreases cell proliferation,Fitness / Proliferation / Viability,,Erythroleukemia Cell Line,HEL,Negative Selection,Knockout,unidirectional,18580,Wang T (2017),28162770,train,2711,2711,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
12,68,decreases cell proliferation,Fitness / Proliferation / Viability,,Acute Myeloid Leukemia Cell Line,MOLM-13,Negative Selection,Knockout,unidirectional,18580,Wang T (2017),28162770,train,3473,3473,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
13,69,decreases cell proliferation,Fitness / Proliferation / Viability,,Monocytic Leukemia Cell Line,Mono-Mac-1,Negative Selection,Knockout,unidirectional,18580,Wang T (2017),28162770,train,1921,1921,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
14,70,decreases cell proliferation,Fitness / Proliferation / Viability,,Acute Myeloid Leukemia Cell Line,MV4-11,Negative Selection,Knockout,unidirectional,18580,Wang T (2017),28162770,train,2502,2502,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
15,73,decreases cell proliferation,Fitness / Proliferation / Viability,,Acute Myeloid Leukemia Cell Line,OCI-AML-2,Negative Selection,Knockout,unidirectional,18580,Wang T (2017),28162770,train,2379,2379,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
16,74,decreases cell proliferation,Fitness / Proliferation / Viability,,Acute Myeloid Leukemia Cell Line,OCI-AML-3,Negative Selection,Knockout,unidirectional,18580,Wang T (2017),28162770,train,2142,2142,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
17,75,decreases cell proliferation,Fitness / Proliferation / Viability,,Acute Myeloid Leukemia Cell Line,OCI-AML-5,Negative Selection,Knockout,unidirectional,18580,Wang T (2017),28162770,train,2940,2940,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
