index,dataset_name,display_name,reverse,reverse_bool,split,shape,phenotype,cleaned_phenotype,screen_rationale,screen_type,screen_category,library_methodology,cell_type,cell_line,num_genes,publication_year,author,source_id,umap_x_ground_truth,umap_y_ground_truth,umap_x_ground_truth_train_fitted,umap_y_ground_truth_train_fitted
0,1,1 (forward),Forward,False,Train,circle,increases drug resistance as measured by increased cell proliferation,Drug / Chemical / Environmental Response,Increased drug resistance,Positive Selection,unidirectional,Knockout,Chronic Myeloid Leukemia Cell Line,KBM-7,7100,2014,Wang T (2014),24336569,3.956761360168457,4.231718063354492,10.783134460449219,11.185766220092773
1,2,2 (forward),Forward,False,Train,circle,increases drug resistance as measured by increased cell proliferation,Drug / Chemical / Environmental Response,Increased drug resistance,Positive Selection,unidirectional,Knockout,Acute Myeloid Leukemia Cell Line,HL-60,7100,2014,Wang T (2014),24336569,3.960019588470459,4.108148574829102,10.671280860900879,11.050915718078613
2,5,5 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Gene inhibition decreases fitness,Negative Selection,unidirectional,Inhibition,Chronic Myeloid Leukemia Cell Line,K-562,15929,2014,Gilbert LA (2014),25307932,-5.120725154876709,-4.842173099517822,12.841291427612305,-2.8039286136627197
3,6,6 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Gene activation decreases fitness,Negative Selection,unidirectional,Activation,Chronic Myeloid Leukemia Cell Line,K-562,15930,2014,Gilbert LA (2014),25307932,5.080232620239258,5.8893842697143555,11.419509887695312,11.4693603515625
4,16,16 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Colorectal Cancer Cell Line,HCT 116,17587,2015,Hart T (2015),26627737,3.2063000202178955,-1.361189842224121,6.599156856536865,8.052681922912598
5,17,17 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Cervical Adenocarcinoma Cell Line,HeLa,17605,2015,Hart T (2015),26627737,3.161982297897339,-1.4566665887832642,6.484991073608398,8.03798770904541
6,18,18 (forward),Forward,False,Train,circle,impacts cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes and growth restrictive genes,Negative Selection,recovered_bidirectional,Knockout,Chronic Myeloid Leukemia Cell Line,K-562,18454,2016,Morgens DW (2016),27159373,4.479015350341797,-0.3606685996055603,8.51629638671875,7.908661365509033
7,27,27 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Glioblastoma Cell Line,143B,17173,2015,Hart T (2015),26627737,3.0861613750457764,-1.4508392810821533,6.494602203369141,8.073835372924805
8,28,28 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Retinal Pigment Epithelium Cell Line,hTERT-RPE1,17170,2015,Hart T (2015),26627737,3.0899510383605957,-1.3966875076293945,6.4250288009643555,8.083776473999023
9,29,29 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Colonic Adenocarcinoma Cell Line,DLD-1,17177,2015,Hart T (2015),26627737,3.27051043510437,-1.2878046035766602,6.725856781005859,8.02560043334961
10,66,66 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Eosinophilic Leukemia Cell Line,EoL-1,18580,2017,Wang T (2017),28162770,4.642991065979004,-0.19841960072517395,8.368463516235352,7.9197797775268555
11,67,67 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Erythroleukemia Cell Line,HEL,18580,2017,Wang T (2017),28162770,4.44140625,-0.09144944697618484,8.247112274169922,7.947816371917725
12,68,68 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Acute Myeloid Leukemia Cell Line,MOLM-13,18580,2017,Wang T (2017),28162770,4.584758281707764,-0.17395786941051483,8.358420372009277,7.8438005447387695
13,69,69 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Monocytic Leukemia Cell Line,Mono-Mac-1,18580,2017,Wang T (2017),28162770,4.591434955596924,-0.13183748722076416,8.499970436096191,7.821131229400635
14,70,70 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Acute Myeloid Leukemia Cell Line,MV4-11,18580,2017,Wang T (2017),28162770,4.623298168182373,-0.2687496840953827,8.38887882232666,7.924450397491455
